text,favorite_count,retweet_count,id,score
"Determine the internal storage type, or storage mode, of any R object with typeof()",10,4,180,18
"Create NAs of a specific type with NA_real_, NA_integer_ and NA_character_",10,11,179,32
How R finds variables used in statistical models:,32,8,178,96
Remove all objects from your current environment with rm(list=ls()) but be careful,12,5,177,39
The function missing.pattern.plot() from the mi package let you see how NAs are distributed,33,11,176,55
The # character introduces comments in R. Everything after the # character to end-of-line is ignored by the interpreter.,4,6,175,18
"When selecting from vectors, repeated indexes are allowed. x[c(1,1,2,2,3,3)] duplicates the first 3 elements of x",11,7,174,43
Install packages as they were on CRAN on a specified date with the checkpoint package time machine:,5,8,173,46
"To speed an R function, use cmpfun to byte-compile it:",40,17,125,278
"Include .progress=""text"" as an argument to many plyr functions to display a progress bar during computation:",23,6,171,59
Some tips for dealing with missing values:,25,15,170,55
Get a quick visual overview of your data with the tabplot package:  (via @JacquelynGill),33,14,169,148
Conditional indexing. For vectors X and Y: Y[X > 5]  yields elements of Y for which X > 5.,12,8,168,28
"In base graphics, use segments(x0,y0,x1,y1) to draw a line between two points on a plot(x,y)",13,10,167,33
Look at the partykit package for tools to visualize classification tree models.,16,9,166,34
Regular expressions in R:  and   and,30,12,165,54
"Look here   for documentation on ""special functions"" like beta(a,b) or gamma(x)",5,2,163,9
"To search for statistical tests in R start with help.search(keyword=""htest"")",20,6,162,32
"ifelse(b,u,v) where b is a boolean expression, is a vectorized if-then-else construct:",17,9,161,41
"Use the subset() function to select rows and columns from a data frame, based on the data it contains:",17,9,160,42
Use formals(foo) to get the formal arguments of a function,10,3,159,16
A compact ggplot2 tutorial:,57,31,158,119
The xmlToDataFrame function can extract data from structured XML documents,25,8,157,54
Use sqldf to select rows from a data frame using SQL syntax:,26,9,156,53
To get the list of recommended packages for R version 3.0.3:,9,5,155,19
Use the compactPDF function to make PDF files smaller:,31,7,154,56
Use read.csv.sql() from the sqldf package  to read a file into R filtering it with SQL statements.,34,18,153,70
Video introduction to object-oriented programming in R with S3 classes (by @mensurationist):,30,9,152,69
Look at rggobi  and brand new ggvis  for interactive graphics,25,10,151,45
Two packages for wavelets: wavelets  and wavethresh,6,5,149,16
R for programmers coming from other languages  and,17,16,148,49
A useful tutorial on producing simple R graphs from Frank McCown,47,15,147,77
Use the recode() function in the car package to recode variables.,17,12,146,41
"For complex optimization problems (e.g. mixed-integer programming), try the lpSolveAPI package:",21,11,145,68
Google's style guide for R programmers:,60,34,144,281
Type data() to see a list of all available data sets,14,11,143,36
Get started with R's XML package with Duncan Temple Lang's introduction:,18,5,142,28
.Library will give you the path to your devault R library,11,2,141,15
a very nice discussion of R Environments from Hadley Wickham,14,5,139,24
Some tips on using R to talk to Twitter from Raffael Vogler,29,3,140,35
"Type objects() at the console to see what variables, funcions and data sets you have defined",10,4,138,18
Look here ( for a fairly comprehensive list of R  resources.,34,15,137,107
"Generate a sequence of dates: seq(as.Date(""2000/1/1""), as.Date(""2014/1/1""), ""years"")",23,9,921,41
Get the current date with Sys.Date() and the time with Sys.time(),9,4,763,17
sample(x) randomly shuffles the elements of a vector or list x,9,4,136,47
"Reserved words that can't be used as object names: if, while, for, next, TRUE, and several others listed at",5,2,135,22
"""An Introduction to Statistical Learning"" : (James et.al.) is full of R code and free to download",83,44,134,171
Try glm2() {glm2} if your GLM model is having convergence problems,19,5,133,29
Nice short list of useful R functions from Alastair Sanderson,52,32,132,116
"as.data.frame(installed.packages()[,c(1,3)],row.names=F) : list of installed packages with version",25,6,131,37
Run help file examples for a particular function using the 'example' function: example(plot) or example(lm),22,9,130,48
Some nice R tutorials from Willian B. King,46,24,129,94
"readHTMLTable(url,which=2) will read the 2nd table on the webpage specified by the url",38,8,128,54
Indexing into a list: myList[[m]][n] will yield the nth element of the mth item in list myList,17,5,127,27
The polypath function can be used to add a vector-based shape or symbol to a chart:,10,1,126,31
"If x is a matrix, vector or list then x[]<-0 replaces all its values by 0. More uses of the empty bracket in :",25,10,124,69
A tutorial on how the mboost package can help you use gradient boosting to fit a prediction model,15,5,123,25
Do the bobyqa(minqa) for derivative free optimization,10,2,122,14
"The rmongodb package - an interface to the open-source, NoSQL MongoDB database. Great vignettes",18,7,121,32
The RSQLite package embeds the SQLite DB engine in R - great way to get started with DBMs,33,12,120,57
The sqldf package lets you do sql queries on an R dataframe,22,5,119,32
The RMySQL package is a database interface and MySQL driver for R,23,5,118,33
The RODBC package provides access to SQL databases - Get started with the vignette,16,5,117,26
"search() displays the ""search list"" of packages where R searches for functions and other objects",11,0,116,32
Annotate ggplot2 graphs by creating an annotation layer with annotate(),41,13,115,67
"Determine the class of every variable in a data frame: sapply(df,class)",29,8,114,45
The WDI package provides access to the World Bank's World Development Indicators,22,11,113,44
"How to unshorten a bit.ly, t.co or other short URL with R:",17,6,112,65
"Use the plyr package to easily sort a data frame by a column: arrange(df, desc(colname))",35,12,111,167
"Use findFn() from the sos package to get help on R topics, e.g. findFn(""glm"")",14,2,110,18
Define your own binary operators,10,4,109,18
A collection of resources for working with GLMs in R,35,17,108,69
Use package XLConnect to read and write Excel files,30,5,107,40
Deleting a function from a package will surprise your users. Deprecate it instead:  (via @TrestleJeff),8,5,106,30
2 short tutorials for the reshape2 package:  and,34,19,105,72
Type ?Startup for a description of R's initialization process and how to configure it:,20,4,99,56
"Sort a vector into decreasing order: sort(x,decreasing=TRUE)",14,4,942,22
"Use the with() function to write R code using variables in a data frame, without needing the $ syntax:",13,6,98,34
Use the stringr package to make life easier when working with strings.,19,11,97,41
"Every row of a data frame has a unique label, which you can set or retrieve with row.names:",14,9,96,50
Build sliders and other interactive controls with the manipulate package in RStudio,37,13,95,63
Use readLines() to read a text file line by line,18,7,94,32
Use the bayesglm() function of the arm package to perform a Bayesian logistic regression,37,12,93,61
"Use scale(x) to calculate the Z-scores of the entries in a numeric vector x,",20,7,92,34
Get started with testing your R code (tips from Hadley Wickham)  and,35,12,91,59
"Create a deck of cards in : expand.grid(rank=c(""A"",2:10,""J"",""Q"",""K""),suit=c(""S"",""H"",""D"",""C""))",36,10,425,114
Use the ... syntax to pass arguments to a subfunction. Use this to simplify complex :  (via @burnsstat),6,5,90,16
"Use strftime(date, format=""%m-%d"") to shorten a POSIXct date and convert to character string",10,3,89,16
Type ?file to get help with R functions to manipulate connections,5,1,88,7
is.na() finds NAs and NaNs. Use is.nan() to find only NaNs,10,5,87,20
"For tables in R like those from SAS's PROC FREQ, use CrossTable from the gmodels package:",26,7,86,80
ggplot2 viz of iris comparing a single variable across multiple categories Bradley Demarest   D,10,1,84,12
Use as.Date( ) to convert strings to dates,14,4,327,22
See the R Wiki for tips with code snippets.,29,8,83,45
Some basic examples of sorting data frames with the order() function,18,8,81,34
A collection R crib sheets and popular commands,40,14,80,68
A collection of 20+ free R cheat sheets:,53,12,79,163
"Get variable name y into plot title without quotes: plot(x,y,main=paste(""x vs "", deparse(substitute(y))))",17,1,78,19
"Automated variable selection for regressions: ""step""  and ""leaps""",20,9,77,65
"Handy for interactive use, you can set up packages to automatically load when a function is used:",17,9,76,50
"An R user's case for Emacs: ""Emacs has no learning curve"" (",19,10,74,39
"List of R functions and packages for clinical trial design, monitoring and analysis:",12,9,73,45
How to create animated graphics in R:  (see p23),29,11,72,89
Random input testing with R:  (PDF),9,1,70,11
List of R functions and packages for Machine Learning & Statistical Learning:,38,20,69,153
quantmod: An R package where quant traders can quickly and cleanly explore and build trading models:   #finance,10,4,68,56
R resources for Econometrics and Psychometrics:,26,10,67,46
Differences between R and S+:,4,1,66,19
List of R packages for statistical genetics and genetic analysis:,14,15,64,67
List of R functions and packages for visualization and analysis of multivariate data:,25,13,63,105
List of R packages for analysis of ecological and environmental data:,31,25,61,123
Free e-book on multilevel modeling with  using nlme and multilevel packages:,50,21,62,133
"Access Bloomberg data from R with the Rbbg package. Get it with install.packages(""Rbbg"", repos = """,15,4,60,23
"List of R packages for survival analysis, censored data, and failure time modeling:",26,9,59,51
Google's style guide for writing maintainable R code:,40,23,102,117
List of R functions and packages for finance and risk management:,14,11,32,79
List of R functions and packages for finance and risk management:,14,11,58,79
Download and install the latest versions of your R packages with the updates.packages() function:,10,7,104,31
"R scripts for managing and processing data, with equivalent code in #SAS and #SPSS:",15,12,57,58
"Many  packages have """"vignette"""" examples: use vignette() to see which installed packages have them:",9,4,85,22
List of R functions and packages related to Statistics for the Social Sciences:,28,13,56,73
Learn R through baseball with sab-R-metrics:,9,5,55,19
Sync Rprofile across multiple machines with Dropbox:,13,4,54,21
Free course on Computing for Data Analysis with  from @coursera starts today:,13,14,53,41
List of R functions and packages for Optimization and Mathematical Programming:,22,5,52,52
Cheat sheet for geospatial data analysis in  (by @geospacedman):,26,17,50,60
"If the  list ""x"" is a train carrying objects, then x[[5]] is the object in car 5; x[4:6] is a train of cars 4-6.",24,14,172,70
"In R scripts that access files, use relative (not absolute) file names to make the script portable.",2,5,49,16
Resources for spatial data analysis with R:,24,8,48,40
List of R functions and packages for Bayesian inference:,24,4,47,47
"Create dynamic, interactive graphics for the Web with the gridSVG package:",16,8,46,32
"On Windows, use odbcConnectExcel/sqlQuery from package RODBC to extract data from Excel worksheets via SQL",3,3,45,9
The R Ecosystem:,17,4,44,25
Example of using the twitteR package for sentiment analysis of tweets:,30,16,43,62
List of R functions for chemometrics and computational physics:,5,3,65,11
List of R packages for psychometrics (measurement of human characteristics):,10,10,42,30
A list of funny Easter eggs in R packages:,9,2,41,13
List of R packages for the analysis of pharmacokinetic (drug dose/response) data:,10,5,40,20
List of R packages for design of experiments and analysis of experimental data:,9,3,39,15
"RT @civilstat For quick edits to shapefile .dbf, Excel is finicky; thank goodness for R's write.dbf()",4,0,38,4
"Send parameters to  script: ""R script.R --args myplot.png""; use commandArgs(trailingOnly=TRUE) in script.R #",2,2,226,6
List of R packages for comparative phylogenetics (evolutionary relatedness in ancestral family trees):,5,4,36,13
"In R for MacOS X, Command-Enter sends the selected commands from the script window to the command line",4,0,35,4
How to install R on an Android device:,19,17,34,53
"Common style for comments is # on a line of  code, ## within functions, and ### at the top level of scripts. ESS indents accordingly",6,1,33,8
"R scripts for reading data from files, with equivalent code in #SAS and #SPSS:",11,6,29,23
"Use the rasterimage function to insert images (imported from GIFs, etc) into an R chart:",9,4,28,17
List of R functions and packages for Computational Econometrics:,8,5,27,18
"You can use Google Spreadsheets as a data editor, and import the data into R:",18,7,26,32
"To create a custom plot, set up axes with plot(...,type=""n""), then annotate with points, lines, text etc.",6,0,25,6
Installing R and packages on a linux box without root access:,1,2,24,5
Search for  on Twitter for conversations about R:,2,2,23,6
Higher-order functions in R  by @johnmyleswhite,7,4,22,15
Learning R for Researchers in Psychology   by @JeromyAnglim,6,5,21,16
"In Emacs, you can embed R code in org-mode files analogous to the way Sweave lets you embed R in LaTeX.",2,0,7,2
"In Emacs, you can embed R code in org-mode files analogous to the way Sweave lets you embed R in LaTeX.",2,0,20,2
Advanced R development  by @hadleywickham,10,3,19,16
The Art of R Programming by Norman Matloff,15,14,18,43
Evaluate a buffer of R code in ESS (Emacs Speaks Statistics): C-c C-b,3,1,5,5
Evaluate a buffer of R code in ESS (Emacs Speaks Statistics): C-c C-b,3,1,17,5
Writing an R package that uses Rcpp,5,0,16,5
Step through R code in ESS (Emacs Speaks Statistics): C-c C-n,4,0,11,4
Evaluate a region of R code in ESS (Emacs Speaks Statistics): C-c C-r,1,0,6,1
Troubleshooting Sweave,3,1,14,5
Sweave is a tool for embedding R code inside a LaTeX document. Introduction to Sweave:,8,2,12,12
"Thesaurus of Mathematical Languages: R, Matlab, Python",11,6,13,23
Calling R from Python with RPy,8,3,3,14
"R ranges are closed, e.g. 3:5 includes 3, 4, and 5. (Other languages, such as Python, would not include the 5.)",0,2,8,4
as.numeric() takes a string representation of a number and returns a number.,1,0,2,1
RExcel lets you integrate R and Microsoft Excel,7,6,10,19
R uses a caret (^) for exponentiation. e.g. 2^10 = 1024.,1,0,9,1
Using R with the Apache web server,4,3,15,10
Efficiency tip: pre-allocate large vectors to their final size rather than letting them grow dynamically.,1,2,4,5
